,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
hypothetical protein_330,905,Protein of unknown function (DUF3422),-,1346,958269,+,-,-,-,-,-,-,-,-,-,-,-,DUF3422
Ribonuclease BN,906,Beta-lactamase superfamily domain,-,1964,959887,-,-,3.1.26.11,ko:K00784,"ko03013,map03013",-,-,-,"ko00000,ko00001,ko01000,ko03016",-,-,-,"Lactamase_B,Lactamase_B_2"
hypothetical protein_56,914,Mo-molybdopterin cofactor metabolic process,moaD,239,967478,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006732,GO:0006777,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0018130,GO:0019538,GO:0019637,GO:0019720,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0071704,GO:0090407,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.8.1.12,"ko:K03636,ko:K21142","ko00790,ko01100,ko04122,map00790,map01100,map04122",-,R09395,RC02507,"ko00000,ko00001,ko01000",-,-,-,"MoaE,ThiS"
hypothetical protein_329,917,"Uncharacterized ACR, COG1993",-,314,969517,-,-,-,ko:K09137,-,-,-,-,ko00000,-,-,-,DUF190
Putative fluoride ion transporter CrcB,918,"Important for reducing fluoride concentration in the cell, thus reducing its toxicity",crcB,374,969873,-,-,-,ko:K06199,-,-,-,-,"ko00000,ko02000","1.A.43.1,1.A.43.2,1.A.43.3",-,-,CRCB
Hydrogenase maturation factor HypB,931,TIGRFAM Hydrogenase accessory protein HypB,-,839,986511,-,-,-,ko:K04652,-,-,-,-,"ko00000,ko03110",-,-,-,cobW
Hydrogenase maturation factor HybF,932,nickel cation binding,hypA,332,987350,-,-,-,ko:K04651,-,-,-,-,"ko00000,ko03110",-,-,-,HypA
Carbamoyl dehydratase HypE,933,TIGRFAM hydrogenase expression formation protein HypE,-,1094,987695,-,-,-,ko:K04655,-,-,-,-,ko00000,-,-,-,"AIRS,AIRS_C"
Hydrogenase maturation factor HypD,934,Belongs to the HypD family,-,1172,988786,-,-,-,ko:K04654,-,-,-,-,ko00000,-,-,-,HypD
Hydrogenase maturation factor HybG,935,hydrogenase expression formation protein,-,278,990023,-,-,-,ko:K04653,-,-,-,-,ko00000,-,-,-,HupF_HypC
Carbamoyltransferase HypF,936,"Along with HypE, it catalyzes the synthesis of the CN ligands of the active site iron of NiFe -hydrogenases using carbamoylphosphate as a substrate. It functions as a carbamoyl transferase using carbamoylphosphate as a substrate and transferring the carboxamido moiety in an ATP-dependent reaction to the thiolate of the C-terminal cysteine of HypE yielding a protein-S-carboxamide",-,2345,990306,-,-,-,ko:K04656,-,-,-,-,ko00000,-,-,-,"Acylphosphatase,Sua5_yciO_yrdC,zf-HYPF"
hypothetical protein_504,941,COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,-,461,996432,-,-,-,-,-,-,-,-,-,-,-,-,cNMP_binding
putative protein_505,943,AAA domain,-,1019,998342,+,-,-,-,-,-,-,-,-,-,-,-,-
Adaptive-response sensory-kinase SasA_506,944,signal transduction histidine kinase,-,1547,999639,+,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,HisKA,PAS_4"
Response regulator rcp1,945,response regulator receiver,-,446,1001206,+,-,-,-,-,-,-,-,-,-,-,-,Response_reg
hypothetical protein_507,946,Diguanylate cyclase,-,2456,1001659,+,-,-,-,-,-,-,-,-,-,-,-,"EAL,GGDEF,PAS,PAS_4,Response_reg"
hypothetical protein_508,948,Belongs to the pirin family,-,905,1004788,-,-,-,ko:K06911,-,-,-,-,ko00000,-,-,-,"Pirin,Pirin_C"
hypothetical protein_509,949,PFAM regulatory protein TetR,-,671,1006046,+,-,-,-,-,-,-,-,-,-,-,-,TetR_N
hypothetical protein_510,950,membrane-bound metal-dependent,-,1049,1006736,+,-,-,ko:K07038,-,-,-,-,ko00000,-,-,-,YdjM
Acetolactate synthase,951,"COG0028 Thiamine pyrophosphate-requiring enzymes acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase",-,1649,1008035,-,-,-,-,-,-,-,-,-,-,-,-,"TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N"
hypothetical protein_511,952,DNA photolyase,-,1439,1009718,-,-,4.1.99.3,ko:K01669,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"DNA_photolyase,FAD_binding_7"
Zinc-type alcohol dehydrogenase-like protein,954,Belongs to the zinc-containing alcohol dehydrogenase family. Quinone oxidoreductase subfamily,-,1016,1012550,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N_2"
RecBCD enzyme subunit RecB_512,960,"A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit contributes ATPase, 3'-5' helicase, exonuclease activity and loads RecA onto ssDNA",recB,3353,1020683,-,-,"3.1.11.5,3.6.4.12","ko:K03582,ko:K16898","ko03440,map03440",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"PDDEXK_1,UvrD-helicase,UvrD_C"
hypothetical protein_151,961,PD-(D/E)XK nuclease superfamily,-,2669,1024033,-,-,-,-,-,-,-,-,-,-,-,-,PDDEXK_1
hypothetical protein_487,964,-,-,524,1030341,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_486,965,Peptidase family M23,-,812,1030954,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M23
hypothetical protein_135,968,PFAM periplasmic solute binding protein,-,1061,1033405,-,-,-,ko:K09815,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ZnuA
tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,970,"PFAM Peptidase M22, glycoprotease",-,680,1035082,-,-,-,ko:K14742,-,-,-,-,"ko00000,ko03016",-,-,-,Peptidase_M22
hypothetical protein_590,982,response regulator receiver,-,1610,1048561,-,-,-,-,-,-,-,-,-,-,-,-,"GGDEF,Hpt,Response_reg"
Apolipoprotein N-acyltransferase,991,Transfers the fatty acyl group on membrane lipoproteins,lnt,1721,1058353,-,-,-,ko:K03820,-,-,-,-,"ko00000,ko01000",-,GT2,-,CN_hydrolase
hypothetical protein_187,1002,carboxylic ester hydrolase activity,-,845,1073877,-,-,-,-,-,-,-,-,-,-,-,-,"Abhydrolase_6,Hydrolase_4"
Ribosome maturation factor RimM,1005,"An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes",rimM,521,1076019,-,-,-,ko:K02860,-,-,-,-,"ko00000,ko03009",-,-,-,"PRC,RimM"
Glutamate--tRNA ligase,1011,Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu),gltX2,1409,1082119,-,-,6.1.1.17,ko:K01885,"ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120","M00121,M00359,M00360",R05578,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016",-,-,-,tRNA-synt_1c
hypothetical protein_186,1014,Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family,-,1421,1084832,-,-,-,ko:K03308,-,-,-,-,ko00000,"2.A.22.4,2.A.22.5",-,-,SNF
Trehalose-phosphate phosphatase,1016,Removes the phosphate from trehalose 6-phosphate to produce free trehalose,-,818,1086846,-,-,-,-,-,-,-,-,-,-,-,-,Trehalose_PPase
Trehalose-6-phosphate synthase,1017,Probably involved in the osmoprotection via the biosynthesis of trehalose. Catalyzes the transfer of glucose from UDP-glucose (UDP-Glc) to D-glucose 6-phosphate (Glc-6-P) to form trehalose-6-phosphate. Acts with retention of the anomeric configuration of the UDP-sugar donor,ggpS,1604,1087972,+,-,2.4.1.213,ko:K03692,-,-,-,-,"ko00000,ko01000",-,GT20,-,"Glyco_transf_20,S6PP"
hypothetical protein_461,1036,Ribbon-helix-helix domain,-,227,1107107,-,-,-,-,-,-,-,-,-,-,-,-,RHH_6
hypothetical protein_624,1064,-,-,479,1125285,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_19,1065,bacterial-type flagellum organization,flgM,293,1125769,-,-,-,ko:K02398,"ko02020,ko02025,ko02026,ko02040,map02020,map02025,map02026,map02040",-,-,-,"ko00000,ko00001,ko02035",-,-,-,FlgM
hypothetical protein_625,1066,Involved in the assembly process of the P-ring formation. It may associate with FlgF on the rod constituting a structure essential for the P-ring assembly or may act as a modulator protein for the P-ring assembly,-,734,1126192,-,-,-,ko:K02386,"ko02040,map02040",-,-,-,"ko00000,ko00001,ko02035",-,-,-,ChapFlgA
hypothetical protein_266,1074,Phosphatase,-,563,1133142,-,-,-,-,-,-,-,-,-,-,-,-,"CDKN3,DSPc"
hypothetical protein_17,1080,Rhomboid family,-,713,1140212,+,-,-,-,-,-,-,-,-,-,-,-,Rhomboid
hypothetical protein_626,1084,TIGRFAM Flagellar hook-associated protein 3,-,1202,1142278,-,-,-,ko:K02397,"ko02040,map02040",-,-,-,"ko00000,ko00001,ko02035",-,-,-,"Flagellin_C,Flagellin_N"
hypothetical protein_627,1085,"TIGRFAM Flagellar hook-associated protein, FlgK",flgK,1958,1143486,-,-,-,ko:K02396,"ko02040,map02040",-,-,-,"ko00000,ko00001,ko02035",-,-,-,"Flg_bb_rod,Flg_bbr_C"
Peptidoglycan hydrolase FlgJ,1086,Flagellar rod assembly protein muramidase FlgJ,-,947,1145497,-,-,-,ko:K02395,-,-,-,-,"ko00000,ko02035",-,-,-,"Glucosaminidase,Rod-binding"
putative multidrug ABC transporter permease YbhR,1089,PFAM ABC-2 type transporter,-,1112,1149058,-,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC2_membrane_3
putative multidrug ABC transporter permease YbhS,1090,PFAM ABC-2 type transporter,-,1145,1150173,-,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC2_membrane_3
putative multidrug ABC transporter ATP-binding protein YbhF,1091,ABC transporter,-,1754,1151315,-,-,-,ko:K13926,-,-,-,-,ko00000,-,-,-,"ABC2_membrane_3,ABC_tran"
hypothetical protein_264,1092,secretion protein,-,1037,1153066,-,-,-,ko:K01993,-,-,-,-,ko00000,-,-,-,"Biotin_lipoyl_2,HlyD_3,HlyD_D23"
hypothetical protein_16,1094,small membrane protein,-,383,1155684,-,-,-,-,-,-,-,-,-,-,-,-,DUF423
CAI-1 autoinducer sensor kinase/phosphatase CqsS,1095,Histidine kinase,-,1325,1156574,+,-,2.7.13.3,ko:K10916,"ko02020,ko02024,ko05111,map02020,map02024,map05111",M00513,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,HATPase_c
hypothetical protein_15,1096,Response regulator receiver domain,-,1028,1157892,+,-,-,-,-,-,-,-,-,-,-,-,Response_reg
Protease 4,1098,PFAM peptidase S49,-,1844,1160715,-,-,-,ko:K04773,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_S49
N-succinylglutamate 5-semialdehyde dehydrogenase,1101,Catalyzes the NAD-dependent reduction of succinylglutamate semialdehyde into succinylglutamate,-,1469,1166532,-,-,-,-,-,-,-,-,-,-,-,-,Aldedh
hypothetical protein_298,1102,TIGRFAM hopanoid biosynthesis associated membrane protein HpnM,-,680,1168104,-,-,-,ko:K07323,"ko02010,map02010",M00210,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27.3,-,-,MlaC
Dephospho-CoA kinase,1106,Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A,coaE,602,1173244,+,-,2.7.1.24,ko:K00859,"ko00770,ko01100,map00770,map01100",M00120,R00130,"RC00002,RC00078","ko00000,ko00001,ko00002,ko01000",-,-,-,CoaE
Cell division protein ZapD,1107,"Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity",zapD,839,1173864,+,-,-,ko:K18778,-,-,-,-,"ko00000,ko03036",-,-,-,ZapD
Thiamine-phosphate synthase,1109,Thiamine monophosphate synthase,-,950,1174994,-,-,3.6.1.55,ko:K03574,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"NUDIX,NUDIX_4,TMP-TENI"
hypothetical protein_27,1112,Protein of unknown function (DUF721),Y3619,509,1180073,+,-,-,-,-,-,-,-,-,-,-,-,DUF721
Cell division protein FtsQ,1117,"Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly",ftsQ,794,1184254,-,-,-,ko:K03589,"ko04112,map04112",-,-,-,"ko00000,ko00001,ko03036",-,-,-,"FtsQ,POTRA_1"
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,1125,"Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein",murF,1361,1193034,-,-,6.3.2.10,ko:K01929,"ko00300,ko00550,ko01100,ko01502,map00300,map00550,map01100,map01502",-,"R04573,R04617","RC00064,RC00141","ko00000,ko00001,ko01000,ko01011",-,-,-,"Mur_ligase,Mur_ligase_C,Mur_ligase_M"
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",1126,Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan,murE,1508,1194395,-,-,6.3.2.13,ko:K01928,"ko00300,ko00550,map00300,map00550",-,R02788,"RC00064,RC00090","ko00000,ko00001,ko01000,ko01011",-,-,-,"Mur_ligase,Mur_ligase_C,Mur_ligase_M"
Penicillin-binding protein activator LpoA,1132,PFAM LppC,-,2159,1200955,+,-,-,ko:K07121,-,-,-,-,ko00000,-,-,-,LppC
hypothetical protein_299,1133,Belongs to the UPF0102 family,-,359,1203107,+,-,-,ko:K07460,-,-,-,-,ko00000,-,-,-,UPF0102
Ammonia monooxygenase gamma subunit,1137,PFAM Cytochrome C1,petC,767,1205304,-,-,-,ko:K00413,"ko00190,ko01100,ko02020,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map02020,map04260,map04714,map04932,map05010,map05012,map05016","M00151,M00152",-,-,"ko00000,ko00001,ko00002",-,-,-,Cytochrom_C1
hypothetical protein_28,1146,NTP binding protein (Contains STAS domain),-,311,1213745,-,-,-,ko:K07122,"ko02010,map02010",M00210,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27.3,-,-,STAS_2
Lipopolysaccharide export system protein LptC,1153,"Lipopolysaccharide-assembly, LptC-related",-,569,1218705,+,-,-,ko:K11719,-,-,-,-,"ko00000,ko02000",1.B.42.1,-,-,LptC
Lipopolysaccharide export system protein LptA,1154,"Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. May form a bridge between the inner membrane and the outer membrane, via interactions with LptC and LptD, thereby facilitating LPS transfer across the periplasm",lptA,569,1219255,+,-,-,ko:K09774,-,-,-,-,"ko00000,ko02000",1.B.42.1,-,-,"OstA,SH3_3"
HPr kinase/phosphorylase,1159,"Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Therefore, by controlling the phosphorylation state of HPr, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion",hprK,845,1223304,+,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,ko:K06023,-,-,-,-,"ko00000,ko01000",-,-,-,"Hpr_kinase_C,Hpr_kinase_N"
hypothetical protein_29,1166,Protein of unknown function,-,3794,1229710,-,-,-,-,-,-,-,-,-,-,-,-,"AsmA_2,DUF3971"
Ribosomal silencing factor RsfS,1170,"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation",rsfS,371,1236206,-,"GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006417,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0017148,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0034248,GO:0034249,GO:0043021,GO:0043023,GO:0044087,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:0090069,GO:0090071,GO:2000112,GO:2000113",-,ko:K09710,-,-,-,-,"ko00000,ko03009",-,-,-,RsfS
hypothetical protein_30,1173,"DNA polymerase III, delta subunit",-,1022,1238610,-,-,2.7.7.7,ko:K02340,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_delt_C,DNA_pol3_delta"
LPS-assembly lipoprotein LptE,1174,"Together with LptD, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Required for the proper assembly of LptD. Binds LPS and may serve as the LPS recognition site at the outer membrane",lptE,494,1239651,-,"GO:0001530,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006810,GO:0006869,GO:0008150,GO:0008289,GO:0009279,GO:0009987,GO:0010876,GO:0015920,GO:0016020,GO:0016043,GO:0019867,GO:0022607,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0043163,GO:0043165,GO:0044085,GO:0044091,GO:0044462,GO:0044464,GO:0045229,GO:0051179,GO:0051234,GO:0061024,GO:0071702,GO:0071709,GO:0071840,GO:0071944,GO:0097367,GO:1901264",-,ko:K03643,-,-,-,-,"ko00000,ko02000",1.B.42.1,-,"iECH74115_1262.ECH74115_0730,iECSP_1301.ECSP_0694,iECs_1301.ECs0679,iG2583_1286.G2583_0804,iZ_1308.Z0788",LptE
hypothetical protein_31,1176,Zinc-ribbon containing domain,-,524,1242974,+,-,-,-,-,-,-,-,-,-,-,-,DUF1451
Oxygen regulatory protein NreC,1177,response regulator,-,737,1243851,+,-,-,-,-,-,-,-,-,-,-,-,Response_reg
hypothetical protein_6,1179,Protein of unknown function (DUF938),-,476,1245438,-,-,-,-,-,-,-,-,-,-,-,-,DUF938
hypothetical protein_228,1181,Protein of unknown function (DUF541),-,776,1246245,-,-,-,-,-,-,-,-,-,-,-,-,SIMPL
hypothetical protein_207,1182,Zinc-dependent metalloprotease,-,1160,1247316,-,-,-,-,-,-,-,-,-,-,-,-,"Astacin,Peptidase_M10"
hypothetical protein_328,1194,-,-,536,1261971,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_327,1196,-,-,272,1263752,-,-,-,-,-,-,-,-,-,-,-,-,ORF6N
hypothetical protein_55,1204,SURF1-like protein,-,731,1269883,-,-,-,-,-,-,-,-,-,-,-,-,SURF1
hypothetical protein_326,1207,-,-,128,1271895,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_54,1210,Integral membrane protein (DUF2244),-,560,1274874,-,-,-,-,-,-,-,-,-,-,-,-,DUF2244
hypothetical protein_53,1213,Competence protein,-,659,1277650,+,-,-,-,-,-,-,-,-,-,-,-,Pribosyltran
Chorismate pyruvate-lyase,1215,"Removes the pyruvyl group from chorismate, with concomitant aromatization of the ring, to provide 4- hydroxybenzoate (4HB) for the ubiquinone pathway",ubiC,566,1279190,-,-,4.1.3.40,ko:K03181,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00117,R01302,"RC00491,RC02148","ko00000,ko00001,ko00002,ko01000",-,-,-,Chor_lyase
Protein YchQ,1225,Invasion gene expression up-regulator SirB,-,380,1289728,-,-,-,-,-,-,-,-,-,-,-,-,SirB
hypothetical protein_52,1226,rho-dependent transcription termination,rof,251,1290166,+,"GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0031554,GO:0031564,GO:0043244,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141",-,ko:K19000,-,-,-,-,"ko00000,ko03021",-,-,-,ROF
hypothetical protein_628,1227,Protein of unknown function (DUF3135),-,353,1290571,+,-,-,-,-,-,-,-,-,-,-,-,DUF3135
hypothetical protein_205,1249,Antitoxin component of a toxin-antitoxin (TA) module,-,248,1310032,+,-,-,-,-,-,-,-,-,-,-,-,PhdYeFM_antitox
hypothetical protein_577,1255,-,-,239,1315587,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_576,1256,Glutaredoxin-like domain (DUF836),XAC3035,404,1315792,+,-,-,-,-,-,-,-,-,-,-,-,DUF836
hypothetical protein_175,1262,Autotransporter beta-domain,-,653,1320168,+,-,-,-,-,-,-,-,-,-,-,-,Autotransporter
hypothetical protein_174,1263,Mo-molybdopterin cofactor biosynthetic process,-,758,1320977,+,-,-,-,-,-,-,-,-,-,-,-,-
Molybdenum cofactor guanylyltransferase,1264,Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor,mobA,632,1321910,+,-,2.7.7.77,ko:K03752,"ko00790,ko01100,map00790,map01100",-,R11581,-,"ko00000,ko00001,ko01000",-,-,-,NTP_transf_3
hypothetical protein_173,1266,Domain of unknown function (DUF4010),-,1250,1323962,+,-,-,-,-,-,-,-,-,-,-,-,"DUF4010,MgtC"
hypothetical protein_172,1267,Putative transmembrane protein (PGPGW),-,425,1325377,+,-,-,-,-,-,-,-,-,-,-,-,PGPGW
hypothetical protein_617,1284,Protein of unknown function (DUF433),-,227,1339660,-,-,-,-,-,-,-,-,-,-,-,-,DUF433
hypothetical protein_428,1286,Transposase IS200 like,-,674,1341387,-,-,-,ko:K07491,-,-,-,-,ko00000,-,-,-,Y1_Tnp
tRNA(fMet)-specific endonuclease VapC,1312,PIN domain,-,386,1376498,-,-,-,-,-,-,-,-,-,-,-,-,PIN
hypothetical protein_492,1313,toxin-antitoxin pair type II binding,-,230,1376881,-,-,-,-,-,-,-,-,-,-,-,-,"MazE_antitoxin,PrlF_antitoxin"
hypothetical protein_136,1318,(GGDEF) domain,-,1154,1381434,+,-,-,-,-,-,-,-,-,-,-,-,GGDEF
hypothetical protein_490,1319,Phasin protein,-,353,1382861,+,-,-,-,-,-,-,-,-,-,-,-,Phasin_2
Heme oxygenase HutZ,1320,Pfam:Pyridox_oxidase,-,515,1383336,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_489,1321,Sigma 54 modulation protein / S30EA ribosomal protein,-,317,1384102,-,-,-,-,-,-,-,-,-,-,-,-,Ribosomal_S30AE
Cyclic di-GMP phosphodiesterase CdgJ_488,1322,EAL domain,-,1223,1384616,+,-,-,-,-,-,-,-,-,-,-,-,"EAL,HDOD"
hypothetical protein_397,1359,Transposase (IS116 IS110 IS902 family),-,251,1408795,-,-,-,-,-,-,-,-,-,-,-,-,"DEDD_Tnp_IS110,Transposase_20"
Pyridoxine/pyridoxamine 5'-phosphate oxidase,1362,Catalyzes the oxidation of either pyridoxine 5'- phosphate (PNP) or pyridoxamine 5'-phosphate (PMP) into pyridoxal 5'-phosphate (PLP),pdxH,587,1411292,+,-,1.4.3.5,ko:K00275,"ko00750,ko01100,ko01120,map00750,map01100,map01120",M00124,"R00277,R00278,R01710,R01711","RC00048,RC00116","ko00000,ko00001,ko00002,ko01000",-,-,-,"PNP_phzG_C,Putative_PNPOx"
hypothetical protein_629,1363,Protein tyrosine kinase,-,1082,1412041,-,-,-,-,-,-,-,-,-,-,-,-,Pkinase
hypothetical protein_630,1364,protein serine/threonine phosphatase activity,-,1364,1413120,-,-,-,-,-,-,-,-,-,-,-,-,"PP2C_2,SpoIIE"
Protein-glutamate methylesterase/protein-glutamine glutaminase,1370,Belongs to the Glu Leu Phe Val dehydrogenases family,-,1649,1418171,+,-,1.4.1.3,ko:K00261,"ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964",M00740,"R00243,R00248","RC00006,RC02799","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"ELFV_dehydrog,ELFV_dehydrog_N"
Signal transduction histidine-protein kinase BarA_304,1371,Histidine kinase,barA_3,2147,1419817,-,-,2.7.13.1,ko:K05962,-,-,-,-,"ko00000,ko01000",-,-,-,"GAF_2,HATPase_c,HisKA,Hpt,PAS_3,PAS_4,PAS_7,PAS_9,Response_reg"
hypothetical protein_305,1372,Haem-NO-binding,-,551,1421969,-,-,-,-,-,-,-,-,-,-,-,-,HNOB
hypothetical protein_306,1373,nitric oxide dioxygenase activity,VPA1107,422,1422625,-,-,-,-,-,-,-,-,-,-,-,-,-
Sodium-dependent dicarboxylate transporter SdcS,1374,PFAM Sodium sulphate symporter,-,1391,1423858,-,-,-,ko:K14445,-,-,-,-,"ko00000,ko02000",2.A.47.1,-,-,Na_sulph_symp
Elongation factor G-like protein,1375,small GTP-binding protein,-,2045,1425627,+,-,-,ko:K02355,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,"EFG_C,EFG_II,EFG_IV,GTP_EFTU"
hypothetical protein_361,1376,Peptidase family M28,-,947,1427725,+,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M28
hypothetical protein_211,1377,auxin-activated signaling pathway,-,209,1428876,+,-,1.1.2.3,"ko:K00101,ko:K07088","ko00620,ko01100,map00620,map01100",-,R00196,RC00044,"ko00000,ko00001,ko01000",-,-,-,Mem_trans
hypothetical protein_212,1378,Membrane transport protein,-,770,1429057,+,-,-,ko:K07088,-,-,-,-,ko00000,-,-,-,Mem_trans
